age;experience_years;daily_work_hours;sleep_hours;caffeine_intake;bugs_per_day;commits_per_day;meetings_per_day;screen_time;exercise_hours;burnout_level
26.0;12.0;10.33;4.45;2.0;11.0;4.0;1.0;15.07;0.14;Medium
39.0;10.0;8.62;5.77;5.0;15.0;11.0;5.0;13.25;0.54;High
34.0;13.0;;4.03;5.0;2.0;18.0;9.0;11.18;1.54;Medium
30.0;1.0;6.85;6.47;2.0;15.0;26.0;1.0;11.14;0.96;Medium
27.0;7.0;4.24;5.8;;9.0;17.0;7.0;8.05;0.36;Low
40.0;2.0;10.25;6.78;0.0;19.0;27.0;4.0;15.15;0.78;Medium
26.0;;6.53;7.6;6.0;4.0;11.0;9.0;9.38;0.54;Medium
38.0;0.0;10.69;5.25;5.0;12.0;2.0;2.0;14.58;0.1;High
42.0;18.0;11.47;4.79;4.0;11.0;25.0;1.0;14.54;1.53;High
30.0;17.0;13.16;5.39;3.0;0.0;3.0;3.0;14.44;0.58;Medium
30.0;16.0;13.58;4.01;2.0;19.0;14.0;7.0;14.77;1.89;High
43.0;19.0;4.11;4.6;5.0;10.0;14.0;0.0;5.6;1.78;Low
;12.0;13.9;7.75;6.0;18.0;10.0;9.0;16.08;1.43;High
23.0;2.0;10.83;5.11;0.0;14.0;1.0;2.0;12.87;0.65;High
27.0;0.0;10.44;8.97;2.0;17.0;17.0;0.0;14.35;0.56;Medium
43.0;3.0;4.15;4.84;7.0;15.0;2.0;1.0;8.01;0.95;Low
22.0;12.0;12.61;7.94;5.0;6.0;17.0;9.0;17.5;0.71;High
41.0;16.0;5.45;7.53;3.0;9.0;13.0;6.0;7.69;1.8;Low
40.0;10.0;12.37;5.61;4.0;15.0;5.0;0.0;17.12;0.25;High
21.0;1.0;4.16;5.65;2.0;16.0;1.0;8.0;7.61;1.45;Medium
43.0;15.0;10.46;6.82;5.0;6.0;0.0;7.0;13.44;1.22;Medium
31.0;1.0;8.35;8.26;1.0;10.0;7.0;0.0;12.02;1.61;Low
25.0;18.0;6.01;5.93;0.0;16.0;9.0;9.0;9.82;1.08;Medium
21.0;18.0;5.08;4.31;4.0;4.0;19.0;0.0;6.77;1.26;Low
40.0;15.0;8.4;5.87;2.0;0.0;17.0;1.0;12.41;1.93;Low
20.0;18.0;5.23;5.04;5.0;2.0;19.0;1.0;9.13;0.18;Low
31.0;8.0;8.86;8.7;4.0;15.0;10.0;5.0;13.85;0.21;Medium
41.0;0.0;10.25;7.49;1.0;14.0;17.0;0.0;14.9;0.79;Medium
31.0;9.0;12.27;4.25;2.0;3.0;26.0;3.0;16.01;0.95;Medium
44.0;18.0;10.79;5.46;7.0;11.0;15.0;6.0;14.64;0.4;High
36.0;0.0;4.65;4.25;4.0;0.0;4.0;8.0;9.43;0.17;Medium
29.0;1.0;7.07;8.15;2.0;16.0;6.0;9.0;11.94;0.04;Medium
35.0;15.0;6.88;8.53;7.0;14.0;;2.0;11.19;1.53;Low
34.0;11.0;13.15;4.56;2.0;19.0;1.0;3.0;17.22;0.97;High
34.0;7.0;12.68;6.2;4.0;19.0;10.0;4.0;14.13;1.69;High
38.0;17.0;7.7;8.66;2.0;9.0;12.0;4.0;12.02;0.72;Low
31.0;1.0;4.71;4.73;1.0;10.0;19.0;1.0;6.72;1.41;Low
;12.0;12.94;5.46;4.0;17.0;23.0;4.0;16.2;0.98;High
39.0;5.0;12.88;5.52;5.0;1.0;27.0;9.0;15.5;1.22;High
44.0;5.0;12.55;4.15;6.0;5.0;15.0;0.0;14.93;0.74;High
22.0;8.0;12.45;4.18;4.0;15.0;29.0;6.0;14.69;0.16;High
24.0;15.0;8.8;8.76;1.0;6.0;13.0;4.0;13.22;1.89;Low
;10.0;5.77;6.86;1.0;18.0;6.0;5.0;9.85;1.67;Medium
26.0;6.0;8.77;5.53;1.0;11.0;6.0;8.0;11.86;0.62;High
40.0;9.0;8.95;5.89;7.0;17.0;11.0;2.0;12.61;1.92;High
28.0;9.0;8.9;7.57;5.0;9.0;11.0;0.0;;0.6;Medium
26.0;19.0;9.39;5.83;5.0;6.0;19.0;7.0;11.98;0.89;Medium
37.0;;6.58;5.14;6.0;3.0;0.0;1.0;9.78;1.51;Low
23.0;19.0;7.66;4.51;6.0;16.0;22.0;1.0;10.79;0.62;
44.0;8.0;8.34;7.64;2.0;16.0;5.0;9.0;13.08;0.65;High
33.0;14.0;5.31;4.9;2.0;3.0;7.0;3.0;7.72;0.82;Low
37.0;3.0;8.55;4.35;3.0;4.0;26.0;4.0;13.5;0.94;Low
28.0;7.0;12.1;6.13;6.0;0.0;12.0;0.0;14.32;0.25;Medium
40.0;8.0;12.28;4.2;6.0;18.0;;2.0;13.72;0.03;High
21.0;12.0;8.12;8.82;2.0;10.0;23.0;7.0;9.89;;
39.0;8.0;9.19;7.14;1.0;0.0;9.0;5.0;11.89;0.71;Medium
34.0;;4.34;4.76;3.0;7.0;26.0;2.0;7.94;0.2;Low
26.0;16.0;10.74;4.86;6.0;3.0;13.0;6.0;13.81;1.52;Medium
31.0;15.0;8.05;6.85;1.0;;23.0;5.0;10.56;0.59;Medium
27.0;14.0;8.45;5.78;0.0;16.0;8.0;4.0;11.7;;Medium
34.0;2.0;12.74;7.87;7.0;17.0;16.0;7.0;17.1;1.93;High
22.0;19.0;8.62;6.73;6.0;2.0;2.0;7.0;12.98;1.84;Medium
